soilloss,endinfil,duration,cumq,rough,bulk,corg,cSa,mSa,fSa,cSi,mSi,fSi,slope,plotwidth,plotlength,BBCH,crop,treat,cover,moist,runtype,project,No,plot,bulk.run,CLAY,SILT,SAND,KA5class,KA5main,D,SigP,crop_original,lat,lon
23.871,0.2,4140,1.0707,0.011,1240,1.6,6,6,6,30,24,13,7.2,2,22,12,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,36,2,BEMP,18,16,1320,15,67,18,Ut3,U,0.0309002817182449,7.37542749566129,winter rye,,
19.733,0.23,4620,0.9847,0.008,1330,1.6,6,10,12,26,22,12,6,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,41,1,BEMP,19,17,1410,12,60,28,Uls,U,0.0492024457413696,8.63427695786265,winter wheat,,
37.216,0.4,2400,0.4358,0.013,1380,1.3,1,1,4,51,19,6,17.4,2,22,0,fallow,Inv,0,35,2,BEMP,2,6,1350,18,76,6,Ut4,U,0.0180311396253281,4.99463048856686,fallow,,
24.392,0.24,3660,1.08,0.007,1330,1.6,6,10,12,26,22,12,6,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,40,2,BEMP,20,17,1250,12,60,28,Uls,U,0.0492024457413696,8.63427695786265,winter wheat,,
0.11412025219393,0.563333333333333,4800,0.04729,0.0971334229867738,1400,2.09,1,1,2,33,31,10,8,1,3,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",DS-M,60,41.35,1,E3D Sachsen,201,67,1278,22,74,4,Ut4,U,0.0147064967774347,4.93864019136016,winter barley,,
0.0261149059207336,0.323333333333333,6180,0.0358,0.0181962803813938,1400,1.125,2,5,6,46,23,8,8,1,3,17,"canola, field bean, phacelia",DS-M,70,34.99,2,E3D Sachsen,202,67,1520,10,77,13,Ut2,U,0.0302638085157454,5.31959829087136,canola,,
0.0311837006620449,0.22,9960,0.055115,0.652020580788512,1580,1.31,2,5,6,46,23,8,12,1,3,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",DS-M,80,33.24,1,E3D Sachsen,203,68,1580,10,77,13,Ut2,U,0.0302638085157454,5.31959829087136,winter wheat,,
0.00883961342114762,0.544666666666667,9780,0.003472,0.0723211078938628,1330,1.56,1,1,2,44,25,5,12,1,3,12,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",DS-M,28,31.83,1,E3D Sachsen,204,69,1330,22,74,4,Ut4,U,0.0147064967774347,4.93864019136016,winter wheat,,
0.0360425551190248,0.0433333333333334,4020,0.08372,0.26,1530,0.982,1,1,1,43,25,19,6,1,3,9,maize,DS-M,100,32.67,1,E3D Sachsen,207,72,1531,10,87,3,Ut2,U,0.0209579369117599,3.29256596076954,maize,,
0.0731595459911592,0.23,5940,0.06998,0.0600625018056733,1570,1.037,1,1,1,43,25,19,8,1,3,15,"canola, field bean, phacelia",DS-M,80,32.71,1,E3D Sachsen,208,73,1567,10,87,3,Ut2,U,0.0209579369117599,3.29256596076954,field bean,,
0.645550723078801,0.0766666666666667,4200,0.07455,0.0167644128235178,1540,2.064,17,19,15,16,13,9,8,1,3,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,10,29.51,1,E3D Sachsen,209,74,1536,11,38,51,Sl3,S,0.118347487833717,11.0146397090252,summer wheat,,
